Insee;Nom;Altitude;code_postal;longitude_radian;latitude_radian;pop99;surface
69050;Châtillon;220;69380;0.081075395368852;0.80071340361525;1873;10.77
69051;Chaussan;470;69440;0.080978423015661;0.79647132089389;933;7.95
69052;Chazay-d'Azergues;221;69380;0.082268033806395;0.80070854334627;3903;6.02
69053;Chénas;270;69840;0.082379537032287;0.80656030720949;442;8.22
69054;Chénelette;660;69430;0.078374983313025;0.80581368999788;315;10.98
69055;Les Chères;190;69380;0.082781940672997;0.80091220859062;1073;5.53
69056;Chessy;226;69380;0.080716625958127;0.80089769436268;1313;4.52
69057;Chevinay;468;69210;0.080401507422144;0.7988614413932;471;8.71
69058;Chiroubles;400;69115;0.081419608939745;0.80600756812525;349;7.38
69059;Civrieux-d'Azergues;195;69380;0.082268033806395;0.80039828507927;1299;4.93
69060;Claveisolles;460;69870;0.078394374454712;0.80463557411066;554;28.06
69061;Cogny;340;69640;0.080721477904738;0.80263327644509;941;5.79
69062;Coise;640;69590;0.078088943167195;0.79613196759199;616;9.12
69063;Collonges-au-Mont-d'Or;220;69660;0.084488477654763;0.79977290827629;3420;3.84
69064;Condrieu;147;69420;0.083164936527264;0.79351880735137;3424;9.19
69065;Corcelles-en-Beaujolais;215;69220;0.082408632067194;0.80556155522168;745;9.04
69066;Cours-la-Ville;537;69470;0.075437008965585;0.80461619961374;4241;19.44
69067;Courzieu;380;69690;0.079790644847107;0.79834272419189;1134;26.82
69068;Couzon-au-Mont-d'Or;180;69270;0.084299401539746;0.80016073111003;2609;3.14
69069;Craponne;283;69290;0.082413467369048;0.79842994271759;8002;4.69
69070;Cublize;460;69550;0.076396937058126;0.80320539002626;1047;15.65
